CgST,CgST,lpg0028,lpg0078,lpg0116,lpg0212,lpg0287,lpg0330,lpg0356,lpg0432,lpg0461,lpg0513,lpg0577,lpg0656,lpg0712,lpg0785,lpg0840,lpg0888,lpg0956,lpg1178,lpg1206,lpg1283,lpg1340,lpg1398,lpg1452,lpg1511,lpg1566,lpg1636,lpg1682,lpg1737,lpg1782,lpg1830,lpg1882,lpg1994,lpg2039,lpg2175,lpg2231,lpg2280,lpg2339,lpg2404,lpg2461,lpg2516,lpg2577,lpg2622,lpg2698,lpg2743,lpg2795,lpg2827,lpg2869,lpg2933,lpg2999
49,49,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,17.0,30.0,7.0,34.0,10.0,28.0,7.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
50,50,13.0,6.0,17.0,10.0,4.0,7.0,21.0,3.0,2.0,24.0,7.0,6.0,7.0,28.0,1.0,6.0,3.0,19.0,8.0,11.0,9.0,4.0,8.0,9.0,55.0,3.0,5.0,29.0,17.0,7.0,5.0,7.0,9.0,4.0,9.0,24.0,8.0,16.0,3.0,37.0,46.0,8.0,49.0,14.0,2.0,14.0,26.0,5.0,6.0
51,51,23.0,47.0,44.0,37.0,10.0,23.0,,6.0,34.0,49.0,22.0,54.0,29.0,37.0,51.0,36.0,31.0,9.0,4.0,36.0,33.0,55.0,50.0,15.0,33.0,21.0,3.0,54.0,16.0,23.0,2.0,20.0,29.0,40.0,35.0,9.0,40.0,38.0,26.0,14.0,4.0,42.0,3.0,48.0,12.0,25.0,22.0,31.0,21.0
52,52,18.0,22.0,30.0,53.0,25.0,10.0,5.0,3.0,40.0,26.0,8.0,7.0,8.0,36.0,3.0,6.0,43.0,5.0,30.0,7.0,45.0,36.0,32.0,31.0,56.0,34.0,21.0,18.0,5.0,37.0,22.0,4.0,47.0,31.0,6.0,30.0,33.0,28.0,39.0,37.0,40.0,9.0,14.0,39.0,18.0,49.0,14.0,39.0,13.0
53,53,4.0,19.0,24.0,8.0,2.0,22.0,23.0,8.0,18.0,15.0,6.0,21.0,44.0,22.0,10.0,19.0,28.0,22.0,19.0,23.0,25.0,16.0,57.0,35.0,51.0,35.0,7.0,35.0,19.0,46.0,6.0,15.0,11.0,44.0,29.0,18.0,24.0,7.0,12.0,16.0,30.0,45.0,32.0,13.0,4.0,38.0,33.0,35.0,24.0
54,54,28.0,45.0,26.0,12.0,33.0,14.0,15.0,21.0,27.0,27.0,26.0,30.0,15.0,41.0,33.0,35.0,22.0,11.0,4.0,46.0,37.0,50.0,23.0,30.0,21.0,17.0,15.0,15.0,12.0,43.0,28.0,30.0,30.0,14.0,38.0,14.0,44.0,33.0,33.0,19.0,24.0,21.0,26.0,21.0,7.0,34.0,19.0,36.0,17.0
55,55,11.0,5.0,14.0,50.0,3.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,12.0,33.0,5.0,7.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,11.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,34.0,36.0,8.0,8.0,8.0,1.0
56,56,18.0,42.0,33.0,44.0,31.0,10.0,5.0,12.0,20.0,35.0,17.0,55.0,5.0,14.0,6.0,8.0,12.0,20.0,10.0,6.0,45.0,38.0,14.0,27.0,57.0,32.0,22.0,6.0,10.0,44.0,25.0,4.0,5.0,6.0,41.0,31.0,33.0,22.0,9.0,21.0,52.0,17.0,23.0,4.0,17.0,51.0,14.0,49.0,13.0
57,57,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,31.0,5.0,4.0,11.0,45.0,7.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
58,58,18.0,42.0,33.0,44.0,31.0,10.0,5.0,12.0,20.0,35.0,17.0,55.0,5.0,14.0,6.0,8.0,12.0,20.0,10.0,6.0,45.0,38.0,14.0,27.0,57.0,32.0,22.0,6.0,10.0,35.0,25.0,4.0,5.0,6.0,41.0,31.0,33.0,22.0,9.0,21.0,52.0,17.0,23.0,4.0,17.0,51.0,14.0,49.0,13.0
59,59,18.0,42.0,33.0,44.0,31.0,10.0,5.0,12.0,20.0,35.0,17.0,55.0,5.0,14.0,6.0,8.0,12.0,20.0,10.0,6.0,45.0,38.0,14.0,27.0,57.0,32.0,22.0,6.0,10.0,35.0,25.0,4.0,5.0,6.0,41.0,31.0,33.0,22.0,9.0,21.0,8.0,17.0,23.0,4.0,17.0,51.0,14.0,49.0,13.0
